Fusion Name	Gene 1 Symbol	Gene 1 ID	Gene 1 Breakpoint	Gene 1 Strand	Gene 1 Reference Strand	Gene 2 Symbol	Gene 2 ID	Gene 2 Breakpoint	Gene 2 Strand	Gene 2 Reference Strand	Breakpoint Distance	Supporting Reads	Read IDs	Strand Comparison	GF Program
RPS13:RICTOR	RPS13	ENSG00000110700.7	chr11:17075454	-	-	RICTOR	ENSG00000164327.14	chr5:38938142	-	-	inf	2	0143790e-46bf-4f1e-b300-75773e3d39b4	Consistent	JAFFAL
RRM1:TARDBP	RRM1	ENSG00000167325.15	chr11:4094964	+	+	TARDBP	ENSG00000120948.19	chr1:11023470	+	+	inf	2	4c04f7f8-4bcd-40d7-9e45-548562bca8e5	Consistent	JAFFAL
AMBRA1:HS3ST4	AMBRA1	ENSG00000110497.15	chr11:46428799	-	-	HS3ST4	ENSG00000182601.7	chr16:26032599	+	+	inf	2	0fccc1be-de11-4e0a-876e-ae9871590106	Consistent	JAFFAL
HIST2H2AA4:EIF2AK1	HIST2H2AA4		chr1:149851474	-		EIF2AK1	ENSG00000086232.13	chr7:6024651	-	-	inf	2	d1d18e23-3020-40bb-a78a-986b130e19fe	Inconsistent	JAFFAL
THEM4:CYP51A1	THEM4	ENSG00000159445.13	chr1:151895120	-	-	CYP51A1	ENSG00000001630.18	chr7:92112537	-	-	inf	2	489f1a68-6f13-4353-9283-1c9f1555f028	Consistent	JAFFAL
C11orf31:MDN1	C11orf31		chr11:57741814	+		MDN1	ENSG00000112159.13	chr6:89721348	-	-	inf	2	7f3fbb8d-29d6-4258-9e50-f5abed6fbc5a	Inconsistent	JAFFAL
TAGLN2:NDUFS4	TAGLN2	ENSG00000158710.15	chr1:159918112	-	-	NDUFS4	ENSG00000164258.12	chr5:53646378	+	+	inf	2	06f14ec7-f725-4703-b4c3-ad28e9c98250	Consistent	JAFFAL
FTH1:NANS	FTH1	ENSG00000167996.16	chr11:61967506	-	-	NANS	ENSG00000095380.11	chr9:98056756	+	+	inf	2	94a6fed8-c7fd-4c12-bbfc-562e52893144	Consistent	JAFFAL
PRDX5:HBA2	PRDX5	ENSG00000126432.14	chr11:64319754	+	+	HBA2	ENSG00000188536.13	chr16:173123	+	+	inf	2	3745ee70-c5f5-4af5-bf5f-f2c568645799	Consistent	JAFFAL
NEAT1:ANKH	NEAT1	ENSG00000245532.11	chr11:65423210	+	+	ANKH	ENSG00000154122.14	chr5:14798380	-	-	inf	2	86dd8694-7e1d-430b-a9dc-e238c5fa8203	Consistent	JAFFAL
NEAT1:UTP20	NEAT1	ENSG00000245532.11	chr11:65440003	+	+	UTP20	ENSG00000120800.5	chr12:101386467	+	+	inf	2	b7b8f903-4aae-4375-ae42-c632879e7624	Consistent	JAFFAL
MALAT1:IMPAD1	MALAT1	ENSG00000251562.11	chr11:65499235	+	+	IMPAD1		chr8:56961144	-		inf	2	bd734c68-ec75-4b78-8273-e3bd7ddb0310	Inconsistent	JAFFAL
EIF1AD:AKIRIN1	EIF1AD	ENSG00000175376.9	chr11:65997631	-	-	AKIRIN1	ENSG00000174574.16	chr1:39005286	+	+	inf	2	2b28f004-2f7a-4cc1-88ca-3de46da52c90	Consistent	JAFFAL
VAMP4:NSF	VAMP4	ENSG00000117533.15	chr1:171700582	-	-	NSF	ENSG00000073969.19	chr17:46721674	+	+	inf	2	640ae9ec-b427-4f0e-b36d-c5e0a5422b12	Consistent	JAFFAL
ARRB1:EXOSC10	ARRB1	ENSG00000137486.17	chr11:75265455	-	-	EXOSC10	ENSG00000171824.14	chr1:11068068	-	-	inf	2	01eec04c-3b76-408b-9f8a-eaac6d2ebd93	Consistent	JAFFAL
RPS3:TRIM28	RPS3	ENSG00000149273.15	chr11:75404863	+	+	TRIM28	ENSG00000130726.12	chr19:58550550	+	+	inf	2	2bed77af-692c-4da0-ad92-591e78d71c48	Consistent	JAFFAL
RP11-179A16.1:LMBR1	RP11-179A16.1		chr11:82689552	-		LMBR1	ENSG00000105983.23	chr7:156893032	-	-	inf	2	263122a7-6162-49f6-995c-84905663b6f5	Inconsistent	JAFFAL
DDOST:GTF2E1	DDOST	ENSG00000244038.11	chr1:20652097	-	-	GTF2E1	ENSG00000153767.10	chr3:120781976	+	+	inf	2	26bf64b8-cd04-492b-8c3d-c0d6afc86781	Consistent	JAFFAL
HP1BP3:FAM83A	HP1BP3	ENSG00000127483.19	chr1:20744077	-	-	FAM83A	ENSG00000147689.17	chr8:123208963	+	+	inf	2	2f8b152e-2fcc-435c-96e4-a58f1d977640	Consistent	JAFFAL
HSP90B1:NACA2	HSP90B1	ENSG00000166598.16	chr12:103941546	+	+	NACA2	ENSG00000253506.3	chr17:61590764	-	-	inf	2	15d5cdf1-7d0d-4cf9-b991-62179b271a23	Consistent	JAFFAL
PWP1:PCNP	PWP1	ENSG00000136045.12	chr12:107688660	+	+	PCNP	ENSG00000081154.12	chr3:101576832	+	+	inf	2	a6fbce5d-d149-4c99-b1ab-97dc8823ff7e	Consistent	JAFFAL
PPP1CC:SAFB	PPP1CC	ENSG00000186298.12	chr12:110730670	-	-	SAFB	ENSG00000160633.13	chr19:5668337	+	+	inf	2	71bae433-dbf8-442f-8839-f8613bcec0f6	Consistent	JAFFAL
C12orf65:STIL	C12orf65		chr12:123253934	+		STIL	ENSG00000123473.17	chr1:47250576	-	-	inf	2	09603b79-ce7c-4cee-bad2-aea3e884077b	Inconsistent	JAFFAL
LDHB:MRPS14	LDHB	ENSG00000111716.14	chr12:21641995	-	-	MRPS14	ENSG00000120333.4	chr1:175014701	-	-	inf	2	22fc6781-9a28-493b-9a89-30c018e717cb	Consistent	JAFFAL
LDHB:PEA15	LDHB	ENSG00000111716.14	chr12:21646964	-	-	PEA15	ENSG00000162734.13	chr1:160214210	+	+	inf	2	78ca8ac9-caae-4655-bd66-3300fef9de36	Consistent	JAFFAL
PYCR2:RANBP2	PYCR2	ENSG00000143811.20	chr1:225920396	-	-	RANBP2	ENSG00000153201.17	chr2:108785678	+	+	inf	2	b172d7dd-0251-4cc1-a446-d6559c11fa84	Consistent	JAFFAL
PYCR2:OGFOD2	PYCR2	ENSG00000143811.20	chr1:225920430	-	-	OGFOD2	ENSG00000111325.16	chr12:122979415	+	+	inf	2	9cdf1945-85df-4d13-a452-965925613268	Consistent	JAFFAL
PARP1:RPS6	PARP1	ENSG00000143799.14	chr1:226383132	-	-	RPS6	ENSG00000137154.13	chr9:19376576	-	-	inf	2	be199a06-08be-4447-96fb-50843eba368f	Consistent	JAFFAL
ERGIC2:TNKS2	ERGIC2	ENSG00000087502.19	chr12:29371537	-	-	TNKS2	ENSG00000107854.7	chr10:91807444	+	+	inf	2	829e70ce-9089-42b0-a85e-fda99bcb2b90	Consistent	JAFFAL
KIAA1551:TEX261	KIAA1551		chr12:31960863	+		TEX261	ENSG00000144043.13	chr2:70987239	-	-	inf	2	277fc838-2e6c-4fab-b021-ab0f61bd3019	Inconsistent	JAFFAL
RPL11:PICALM	RPL11	ENSG00000142676.14	chr1:23693867	+	+	PICALM	ENSG00000073921.18	chr11:85957836	-	-	inf	2	4dbc72d4-59a2-435a-b6f1-f8f86775c169	Consistent	JAFFAL
RPL11:PRELID1	RPL11	ENSG00000142676.14	chr1:23693874	+	+	PRELID1	ENSG00000169230.10	chr5:177304768	+	+	inf	2	248406fb-a0f0-4399-939b-f58798f58dab	Consistent	JAFFAL
TUBA1B:ANP32A	TUBA1B	ENSG00000123416.15	chr12:49129606	-	-	ANP32A	ENSG00000140350.15	chr15:68784454	-	-	inf	2	85160aa0-b325-4e9b-bed8-bf3fabe7ecec	Consistent	JAFFAL
TROAP:SLC35F5	TROAP	ENSG00000135451.13	chr12:49323691	+	+	SLC35F5	ENSG00000115084.15	chr2:113705420	-	-	inf	2	0fd88964-f968-476c-8c58-222ccf5809c2	Consistent	JAFFAL
PA2G4:CCDC58	PA2G4	ENSG00000170515.14	chr12:56111049	+	+	CCDC58		chr3:122368223	-		inf	2	8265becf-075f-44d7-a071-de620183c59f	Inconsistent	JAFFAL
MYL6:PSMA7	MYL6	ENSG00000092841.19	chr12:56160125	+	+	PSMA7	ENSG00000101182.15	chr20:62136882	-	-	inf	2	5ec64b0c-dd3c-46d0-8aa6-6efb403e7c12	Consistent	JAFFAL
SMARCC2:AC018890.6	SMARCC2	ENSG00000139613.12	chr12:56189352	-	-	AC018890.6		chr2:174719920	+		inf	2	943eceb9-6222-40b6-b59d-60a7c22facf0	Inconsistent	JAFFAL
TPI1:RPL14	TPI1	ENSG00000111669.15	chr12:6869387	+	+	RPL14	ENSG00000188846.14	chr3:40462206	+	+	inf	2	32044a5c-289f-41ab-a3e5-068411af72ce	Consistent	JAFFAL
NAP1L1:TIMM10	NAP1L1	ENSG00000187109.15	chr12:76060161	-	-	TIMM10	ENSG00000134809.9	chr11:57528776	-	-	inf	2	16b4f266-5e15-48a1-975c-c98bcc328a07	Consistent	JAFFAL
ATPIF1:U91328.1	ATPIF1		chr1:28237842	+		U91328.1		chr6:26124503	-		inf	2	3f0e1515-7e16-4456-b120-2ef806d46caf	Consistent	JAFFAL
RCC1:ZNF525	RCC1	ENSG00000180198.17	chr1:28509006	+	+	ZNF525	ENSG00000203326.12	chr19:53385651	+	+	inf	2	9c6788fe-bd66-4eeb-8a2b-456ad01cb210	Consistent	JAFFAL
NDUFA12:MTF2	NDUFA12	ENSG00000184752.14	chr12:94971394	-	-	MTF2	ENSG00000143033.18	chr1:93134092	+	+	inf	2	142d3733-984f-464c-8939-341d58df72a6	Consistent	JAFFAL
SNRPF:UBA1	SNRPF	ENSG00000139343.11	chr12:95866033	+	+	UBA1	ENSG00000130985.17	chrX:47214941	+	+	inf	2	668f69e8-84c8-450f-a9ce-2ef92ada429d	Consistent	JAFFAL
NUPL1:TOMM70A	NUPL1		chr13:25331413	+		TOMM70A		chr3:100364544	-		inf	2	4c61eabe-98f5-4e4b-9d30-22257acb03b7	Consistent	JAFFAL
POMP:HSP90AA1	POMP	ENSG00000132963.9	chr13:28668493	+	+	HSP90AA1	ENSG00000080824.19	chr14:102081659	-	-	inf	2	a154864c-cdb0-4a46-8383-cb749b543801	Consistent	JAFFAL
C1orf174:WSB1	C1orf174	ENSG00000198912.12	chr1:3889774	-	-	WSB1	ENSG00000109046.15	chr17:27312960	+	+	inf	2	5edd727a-6a8f-4ea7-97a3-757d997599f8	Consistent	JAFFAL
RPS8:UQCRQ	RPS8	ENSG00000142937.12	chr1:44777763	+	+	UQCRQ	ENSG00000164405.11	chr5:132866970	+	+	inf	2	97830880-f2ab-4f6f-a317-336dc0817177	Consistent	JAFFAL
MAPK1IP1L:TYMS	MAPK1IP1L	ENSG00000168175.16	chr14:55067659	+	+	TYMS	ENSG00000176890.16	chr18:672642	+	+	inf	2	777ee392-b4f0-46f1-90a1-e01cb188a3c7	Consistent	JAFFAL
SMOC1:DDHD2	SMOC1	ENSG00000198732.11	chr14:69885345	+	+	DDHD2	ENSG00000085788.14	chr8:38260108	+	+	inf	2	2205baf3-edde-40f5-9a10-47053717dbbd	Consistent	JAFFAL
VPS18:SLC25A32	VPS18	ENSG00000104142.11	chr15:40900905	+	+	SLC25A32	ENSG00000164933.13	chr8:103399661	-	-	inf	2	28c02b21-dda3-4bdb-9359-da529f0c60f9	Consistent	JAFFAL
CHP1:PPP2CA	CHP1	ENSG00000187446.12	chr15:41279456	+	+	PPP2CA	ENSG00000113575.12	chr5:134194655	-	-	inf	2	50b19713-ae38-4719-9131-c8d176f2eb4c	Consistent	JAFFAL
PIGBOS1:RRM2	PIGBOS1	ENSG00000225973.4	chr15:55317833	-	-	RRM2	ENSG00000171848.16	chr2:10130893	+	+	inf	2	331198df-3821-428f-a37e-87b796a93ef8	Consistent	JAFFAL
C15orf40:CLCC1	C15orf40	ENSG00000169609.14	chr15:83005591	-	-	CLCC1	ENSG00000121940.17	chr1:108932015	-	-	inf	2	3bd90f79-c27b-40b1-92bf-3f7431980282	Consistent	JAFFAL
GSPT1:SAP30	GSPT1	ENSG00000103342.13	chr16:11915805	-	-	SAP30	ENSG00000164105.4	chr4:173371377	+	+	inf	2	2093dc22-b35a-4c66-aacb-9dce9fc03e1c	Consistent	JAFFAL
HBZ:UCHL5	HBZ	ENSG00000130656.6	chr16:154503	+	+	UCHL5	ENSG00000116750.14	chr1:193015953	-	-	inf	2	c977b0c6-9f74-4c0d-b86b-85d1f6328edf	Consistent	JAFFAL
TUFM:FUNDC2	TUFM	ENSG00000178952.11	chr16:28845912	-	-	FUNDC2	ENSG00000165775.18	chrX:155054899	+	+	inf	2	20815818-7971-45be-b381-0dcb841ab17f	Consistent	JAFFAL
FUS:ZNF833P	FUS	ENSG00000089280.20	chr16:31184361	+	+	ZNF833P	ENSG00000267343.3	chr19:11666497	+	+	inf	2	9d184e12-2545-4c2d-8745-4c476395ddd3	Consistent	JAFFAL
FBXL8:TMEM147-AS1	FBXL8	ENSG00000135722.9	chr16:67162088	+	+	TMEM147-AS1	ENSG00000236144.9	chr19:35540920	-	-	inf	2	8b1cc2e2-7e23-4b2e-bbae-87faa2606086	Consistent	JAFFAL
MIER1:RP11-192H23.4	MIER1	ENSG00000198160.15	chr1:66958919	+	+	RP11-192H23.4		chr17:28468129	-		inf	2	9148c6c8-ffa0-4f51-bf16-be9c23d82b66	Inconsistent	JAFFAL
DHX38:CUTA	DHX38	ENSG00000140829.12	chr16:72093982	+	+	CUTA	ENSG00000112514.18	chr6:33417659	-	-	inf	2	d13c7c7c-cb9c-4a3f-aeaa-146fa4a6906f	Consistent	JAFFAL
COX4I1:MARS	COX4I1	ENSG00000131143.10	chr16:85806943	+	+	MARS		chr12:57516549	+		inf	2	25571952-23d9-4738-b19d-08908c6806b0	Inconsistent	JAFFAL
CDT1:C6orf47-AS1	CDT1	ENSG00000167513.9	chr16:88808909	+	+	C6orf47-AS1	ENSG00000227198.1	chr6:31658925	+	+	inf	2	06c3a719-de33-4291-aeff-1732b2497290	Consistent	JAFFAL
PRPSAP2:RP11-301G19.1	PRPSAP2	ENSG00000141127.15	chr17:18865886	+	+	RP11-301G19.1		chr6:67888435	-		inf	2	38e65a12-2b53-4abe-a57c-03f3d81c5ec7	Inconsistent	JAFFAL
CCDC144NL-AS1:MRTO4	CCDC144NL-AS1	ENSG00000233098.10	chr17:21000792	+	+	MRTO4	ENSG00000053372.5	chr1:19258977	+	+	inf	2	1248a36a-bc4d-4da7-b7a6-cde937c6ec4b	Consistent	JAFFAL
MYO19:AC104389.2	MYO19	ENSG00000278259.5	chr17:36495633	-	-	AC104389.2		chr11:5249520	+		inf	2	35386282-9221-492a-a3a7-01761641b4d6	Inconsistent	JAFFAL
CWC25:TOR1AIP2	CWC25	ENSG00000273559.5	chr17:38806869	-	-	TOR1AIP2	ENSG00000169905.13	chr1:179841955	-	-	inf	2	4cbcf12b-d494-4d2b-8f55-0e1fd35a5e8e	Consistent	JAFFAL
LASP1:RPS5	LASP1	ENSG00000002834.19	chr17:38890484	+	+	RPS5	ENSG00000083845.9	chr19:58393447	+	+	inf	2	464f7b2c-1ce1-4c53-8b16-00f694d5574f	Consistent	JAFFAL
CDK12:RPS23	CDK12	ENSG00000167258.16	chr17:39461749	+	+	RPS23	ENSG00000186468.13	chr5:82278333	-	-	inf	2	925a86f2-60af-468b-90bd-0e3ab2ed28d7	Consistent	JAFFAL
PTRF:ZNHIT1	PTRF		chr17:42422658	-		ZNHIT1	ENSG00000106400.12	chr7:101223778	+	+	inf	2	b034664f-1d07-45e9-ab44-b23650bd6174	Inconsistent	JAFFAL
RPL27:RPL37	RPL27	ENSG00000131469.15	chr17:43002891	+	+	RPL37	ENSG00000145592.14	chr5:40825400	-	-	inf	2	38be4b8f-6b03-4118-9d57-4fdf300dc490	Consistent	JAFFAL
RPL27:TRMT112	RPL27	ENSG00000131469.15	chr17:43002906	+	+	TRMT112	ENSG00000173113.7	chr11:64316871	-	-	inf	2	2f38f18d-735d-4d13-b927-cca608189df0	Consistent	JAFFAL
ATP5G1:CBX5	ATP5G1		chr17:48895328	+		CBX5	ENSG00000094916.16	chr12:54272236	-	-	inf	2	80761a14-339a-448a-bf4e-95bfc8415518	Inconsistent	JAFFAL
PFN1:CCDC115	PFN1	ENSG00000108518.8	chr17:4945816	-	-	CCDC115	ENSG00000136710.10	chr2:130338770	-	-	inf	2	99427c64-3f24-40bf-99c6-028ea6265a23	Consistent	JAFFAL
PFN1:PCNP	PFN1	ENSG00000108518.8	chr17:4945943	-	-	PCNP	ENSG00000081154.12	chr3:101576462	+	+	inf	2	15e35dd1-6821-41c9-ae13-808061cb17d4	Consistent	JAFFAL
SKA2:FAM210B	SKA2	ENSG00000182628.13	chr17:59110759	-	-	FAM210B	ENSG00000124098.10	chr20:56367581	+	+	inf	2	41677e24-c5bf-45da-a970-2285192d6993	Consistent	JAFFAL
NUP85:AC073610.5	NUP85	ENSG00000125450.11	chr17:75208607	+	+	AC073610.5		chr12:48936844	-		inf	2	46e29764-00b7-4aa8-8e31-e091e8a26852	Inconsistent	JAFFAL
PTPN2:DNAH1	PTPN2	ENSG00000175354.20	chr18:12884073	-	-	DNAH1	ENSG00000114841.18	chr3:52373426	+	+	inf	2	6e16b172-2254-4980-be47-1e8c502e770a	Consistent	JAFFAL
LMAN1:STMN1	LMAN1	ENSG00000074695.6	chr18:59355561	-	-	STMN1	ENSG00000117632.23	chr1:25900819	-	-	inf	2	72850c8d-77db-4e9b-afad-e03835640204	Consistent	JAFFAL
ENO1:APOO	ENO1	ENSG00000074800.16	chr1:8863938	-	-	APOO	ENSG00000184831.14	chrX:23836819	-	-	inf	2	ce3f3bb1-c57d-4410-bfc4-0e9348d46770	Consistent	JAFFAL
ICAM4:RP11-265N6.1	ICAM4	ENSG00000105371.10	chr19:10287709	+	+	RP11-265N6.1		chr15:42532369	-		inf	2	46d9b696-8c40-4d57-ae20-5d1e073b1277	Inconsistent	JAFFAL
ZNF714:FAR2	ZNF714	ENSG00000160352.16	chr19:21118762	+	+	FAR2	ENSG00000064763.12	chr12:29338599	+	+	inf	2	5f1c0d5e-becb-416f-8412-0027a45f3d21	Consistent	JAFFAL
DOT1L:SERF2	DOT1L	ENSG00000104885.19	chr19:2191194	+	+	SERF2	ENSG00000140264.22	chr15:43793725	+	+	inf	2	07e81025-98ae-42fe-b9c7-492fef9bc961	Consistent	JAFFAL
RPSAP58:FAM65B	RPSAP58		chr19:23827364	+		FAM65B		chr6:24976381	-		inf	2	4e36f149-e517-4b72-bdce-86ded4a054c4	Consistent	JAFFAL
EIF3K:TCF4	EIF3K	ENSG00000178982.10	chr19:38624189	+	+	TCF4	ENSG00000196628.20	chr18:55223571	-	-	inf	2	3f62b84a-8fc5-422f-a86d-9bd9eecf8096	Consistent	JAFFAL
FTL:RP11-367J11.2	FTL	ENSG00000087086.15	chr19:48966655	+	+	RP11-367J11.2		chr4:7031142	-		inf	2	8bf7548d-62cf-4af5-834f-c46be333f97d	Inconsistent	JAFFAL
RPL13A:B2M	RPL13A	ENSG00000142541.18	chr19:49491494	+	+	B2M	ENSG00000166710.23	chr15:44718027	+	+	inf	2	6288d6f6-de50-4b58-ae6d-6624bdd4b311	Consistent	JAFFAL
RPS9:MAZ	RPS9	ENSG00000170889.14	chr19:54201272	+	+	MAZ	ENSG00000103495.15	chr16:29810137	+	+	inf	2	3179ad5d-a5c0-4ee9-8989-c4144bbbdbb2	Consistent	JAFFAL
GDF5:GINM1	GDF5	ENSG00000125965.9	chr20:35454645	-	-	GINM1	ENSG00000055211.14	chr6:149591283	+	+	inf	2	75aec025-cde9-492e-b82d-87b6506dfee1	Consistent	JAFFAL
STK4:NAA10	STK4	ENSG00000101109.13	chr20:44997217	+	+	NAA10	ENSG00000102030.16	chrX:153932836	-	-	inf	2	22888a37-fdfe-41e9-8337-6af9ba5f8046	Consistent	JAFFAL
PIGT:EIF5AL1	PIGT	ENSG00000124155.19	chr20:45424242	+	+	EIF5AL1	ENSG00000253626.4	chr10:79512907	+	+	inf	2	0d184d78-93fe-480b-9b1b-b9e50ac18547	Consistent	JAFFAL
SLC2A4RG:CD63	SLC2A4RG	ENSG00000125520.14	chr20:63742147	+	+	CD63	ENSG00000135404.12	chr12:55727239	-	-	inf	2	26901df6-4207-4a8b-893e-486923580fc6	Consistent	JAFFAL
CCT8:CDK6	CCT8	ENSG00000156261.13	chr21:29066726	-	-	CDK6	ENSG00000105810.10	chr7:92615207	-	-	inf	2	b19f5b2f-2188-4b97-b59c-26ff5f1a358a	Consistent	JAFFAL
OLA1:MRPL51	OLA1	ENSG00000138430.16	chr2:174081164	-	-	MRPL51	ENSG00000111639.8	chr12:6492424	-	-	inf	2	c59992d7-fd5f-4a86-acbc-21ce5c572f3c	Consistent	JAFFAL
ATF2:MAGOHB	ATF2	ENSG00000115966.18	chr2:175114042	-	-	MAGOHB	ENSG00000111196.10	chr12:10613572	-	-	inf	2	1a14369e-897b-4efb-be26-c7fd1e4cf1e5	Consistent	JAFFAL
ATP5G3:VEGFA	ATP5G3		chr2:175181400	-		VEGFA	ENSG00000112715.26	chr6:43774341	+	+	inf	2	791915fd-7fbf-4911-a63a-ff587782d2e4	Inconsistent	JAFFAL
BCS1L:UNC13D	BCS1L	ENSG00000074582.15	chr2:218661124	+	+	UNC13D	ENSG00000092929.13	chr17:75827647	-	-	inf	2	487eb04b-6e3d-4a18-89bf-18db61db3d1d	Consistent	JAFFAL
CDC45:OSGEP	CDC45	ENSG00000093009.11	chr22:19480211	+	+	OSGEP	ENSG00000092094.11	chr14:20454930	-	-	inf	2	3a7b6798-50ba-4d0e-bf63-cfb3d65e6e0b	Consistent	JAFFAL
MED15:RPL14	MED15	ENSG00000099917.17	chr22:20564692	+	+	RPL14	ENSG00000188846.14	chr3:40462052	+	+	inf	2	1278bfa6-7961-4a3f-b76c-c7a700219676	Consistent	JAFFAL
PRAME:XXbac-BPG252P9.9	PRAME	ENSG00000185686.18	chr22:22548039	-	-	XXbac-BPG252P9.9		chr6:30723704	-		inf	2	238282b6-8c8e-4ec7-a236-792c204a1f4a	Inconsistent	JAFFAL
CAB39:MAGOHB	CAB39	ENSG00000135932.12	chr2:230724976	+	+	MAGOHB	ENSG00000111196.10	chr12:10612947	-	-	inf	2	1a14369e-897b-4efb-be26-c7fd1e4cf1e5	Consistent	JAFFAL
NDUFA10:POLR2E	NDUFA10	ENSG00000130414.13	chr2:240022240	-	-	POLR2E	ENSG00000099817.12	chr19:1095323	-	-	inf	2	23fa2411-36ff-47ff-bed3-2f8d610fb5b7	Consistent	JAFFAL
SEPT2:RPLP0	SEPT2		chr2:241348165	+		RPLP0	ENSG00000089157.16	chr12:120196927	-	-	inf	2	4fb9b79b-0b64-4932-85b2-dd275f161a55	Inconsistent	JAFFAL
NDUFA6-AS1:NFE2L2	NDUFA6-AS1		chr22:42108856	+		NFE2L2	ENSG00000116044.17	chr2:177234269	-	-	inf	2	8aea3609-97ae-4fff-8f21-7dd1f7326ea4	Inconsistent	JAFFAL
AC016995.3:MED15	AC016995.3		chr2:38482733	-		MED15	ENSG00000099917.17	chr22:20566526	+	+	inf	2	44e2f67a-4e0b-43de-b273-fc5fce53ac74	Inconsistent	JAFFAL
AC016995.3:VPS29	AC016995.3		chr2:38482753	-		VPS29	ENSG00000111237.19	chr12:110491933	-	-	inf	2	38387512-3c62-434d-b5be-7ba9702c5fd8	Inconsistent	JAFFAL
RP11-287D1.3:ICAM4	RP11-287D1.3		chr2:74215866	-		ICAM4	ENSG00000105371.10	chr19:10288194	+	+	inf	2	36665ef6-3949-46ea-90b0-c9b6942091db	Inconsistent	JAFFAL
ASAP2:CHCHD2	ASAP2	ENSG00000151693.11	chr2:9271198	+	+	CHCHD2	ENSG00000106153.13	chr7:56101846	-	-	inf	2	86dadb45-da70-4baf-bbdc-c458f1959057	Consistent	JAFFAL
CIAO1:RPL27	CIAO1	ENSG00000144021.3	chr2:96267882	+	+	RPL27	ENSG00000131469.15	chr17:42999954	+	+	inf	2	31f739ea-8edd-49e5-b56d-ce55871b8f8f	Consistent	JAFFAL
PCNP:SYNGR2	PCNP	ENSG00000081154.12	chr3:101576545	+	+	SYNGR2	ENSG00000108639.8	chr17:78171635	+	+	inf	2	61c2d090-e7d2-452f-af19-ce1842bfa705	Consistent	JAFFAL
MAP3K13:CAMKMT	MAP3K13	ENSG00000073803.14	chr3:185418358	+	+	CAMKMT	ENSG00000143919.16	chr2:44704288	+	+	inf	2	6de8d7ba-e9b7-433e-87d4-a383670d6480	Consistent	JAFFAL
RPL35A:BCL2L14	RPL35A	ENSG00000182899.17	chr3:197955851	+	+	BCL2L14	ENSG00000121380.12	chr12:12111518	+	+	inf	2	205e4777-0251-442f-a843-508dceaaccce	Consistent	JAFFAL
RPL14:MRPL17	RPL14	ENSG00000188846.14	chr3:40462195	+	+	MRPL17	ENSG00000158042.9	chr11:6682056	-	-	inf	2	99e55f23-624b-4874-816c-49d1d36aa932	Consistent	JAFFAL
USP19:IRAK1	USP19	ENSG00000172046.21	chr3:49117531	-	-	IRAK1	ENSG00000184216.15	chrX:154010669	-	-	inf	2	b8548df5-7fb3-4452-9088-e2ce36962531	Consistent	JAFFAL
RHOA:RBM26	RHOA	ENSG00000067560.14	chr3:49411820	-	-	RBM26	ENSG00000139746.16	chr13:79314989	-	-	inf	2	af7af7d4-b941-47ec-a872-050ac1b9dd56	Consistent	JAFFAL
PSMD6:RP11-589M4.1	PSMD6	ENSG00000163636.11	chr3:64018868	-	-	RP11-589M4.1		chr14:52777489	+		inf	2	5d42471b-bf2a-4678-9dca-abd0b07f8b73	Inconsistent	JAFFAL
RPL34:PCNP	RPL34	ENSG00000109475.17	chr4:108620681	+	+	PCNP	ENSG00000081154.12	chr3:101576616	+	+	inf	2	aeb08470-a1ef-48c2-861e-b516d4c91850	Consistent	JAFFAL
RPS3A:WTAP	RPS3A	ENSG00000145425.10	chr4:151102935	+	+	WTAP	ENSG00000146457.16	chr6:159749097	+	+	inf	2	63140c44-4077-47f4-b0bc-f8aa3353529f	Consistent	JAFFAL
RPS3A:RNF7	RPS3A	ENSG00000145425.10	chr4:151102958	+	+	RNF7	ENSG00000114125.14	chr3:141745481	+	+	inf	2	3f8bb4e0-f2c0-4d6c-82ce-b7d5fd1bd082	Consistent	JAFFAL
RPS3A:PDCD2	RPS3A	ENSG00000145425.10	chr4:151104256	+	+	PDCD2	ENSG00000071994.11	chr6:170581987	-	-	inf	2	8a90e9f0-251f-409f-873c-c1123ef6a3a7	Consistent	JAFFAL
MSMO1:SLC31A1	MSMO1	ENSG00000052802.13	chr4:165342383	+	+	SLC31A1	ENSG00000136868.11	chr9:113264289	+	+	inf	2	1c7af898-119d-495e-aacd-774fa725fa9f	Consistent	JAFFAL
CLCN3:RPL5	CLCN3	ENSG00000109572.16	chr4:169620789	+	+	RPL5	ENSG00000122406.14	chr1:92832077	+	+	inf	2	3f917ce3-1150-47e9-93ce-13630e0bdbb1	Consistent	JAFFAL
GNPDA2:GNG5	GNPDA2	ENSG00000163281.12	chr4:44706266	-	-	GNG5	ENSG00000174021.12	chr1:84498533	-	-	inf	2	0e965bac-7020-4ab2-8066-b529cd46c59d	Consistent	JAFFAL
NMU:STK11	NMU	ENSG00000109255.11	chr4:55636164	-	-	STK11	ENSG00000118046.18	chr19:1228171	+	+	inf	2	44247727-23c8-4dae-ba3b-2c4d7a9ff9f2	Consistent	JAFFAL
PAICS:PHF19	PAICS	ENSG00000128050.9	chr4:56459722	+	+	PHF19	ENSG00000119403.15	chr9:120869739	-	-	inf	2	1edce747-2981-424c-8758-3fcdbf39733c	Consistent	JAFFAL
